premise_v2,hypothesis_v2,premise_sentences,hypothesis_sentences,labels,label_name,premise_lemma,premise_pos,hypothesis_lemma,hypothesis_pos
Сім людей вбираються в природний басейн.,Чотири людини вбираються в природний басейн,['Сім людей вбираються в природний басейн.'],['Чотири людини вбираються в природний басейн'],2,contradiction,сім людина вбиратися в природний басейн .,NUM NOUN VERB ADP ADJ NOUN PUNCT,чотири людина вбиратися в природний бась н,NUM NOUN VERB ADP ADJ NOUN INTJ
"Чоловік у довгих рукаваних сорочках, їхавший жовтим мопедом через вулицю.","Чоловіка зупинили на середині вулиці, розмовляючи з жінкою.","['Чоловік у довгих рукаваних сорочках, їхавший жовтим мопедом через вулицю.']","['Чоловіка зупинили на середині вулиці, розмовляючи з жінкою.']",2,contradiction,"чоловік у довгий рукаваний сорочка , їхавший жовтий мопед через вулиця .",NOUN ADP ADJ ADJ NOUN PUNCT ADJ ADJ NOUN ADP NOUN PUNCT,"чоловік зупинити на середина вулиця , розмовляти з жінка .",NOUN VERB ADP NOUN NOUN PUNCT VERB ADP NOUN PUNCT
Є 4 фотографії того ж хлопця і на трьох з них він має корону.,Чоловік і корона.,['Є 4 фотографії того ж хлопця і на трьох з них він має корону.'],['Чоловік і корона.'],0,entailment,бути 4 фотографія той ж хлопець і на три з вони він мати корона .,VERB NUM NOUN DET PART NOUN CCONJ ADP NUM ADP PRON PRON VERB NOUN PUNCT,чоловік і корона .,NOUN CCONJ NOUN PUNCT
Жінка в чорному танцює з кимось.,Дівчина танцює.,['Жінка в чорному танцює з кимось.'],['Дівчина танцює.'],0,entailment,жінка в чорний танцювати з хтось .,NOUN ADP NOUN VERB ADP PRON PUNCT,дівчина танцювати .,NOUN VERB PUNCT
Деякі підліткові посміхаються з відкритого столу.,Деякі підліткові змагалися на вулиці.,['Деякі підліткові посміхаються з відкритого столу.'],['Деякі підліткові змагалися на вулиці.'],2,contradiction,деякий підлітковий посміхатися з відкритий стіл .,DET NOUN VERB ADP ADJ NOUN PUNCT,деякий підлітковий змагатися на вулиця .,DET NOUN VERB ADP NOUN PUNCT
Футбольна команда виступає за свій національний гімн.,Футбольна команда одягнена у біло-чорно.,['Футбольна команда виступає за свій національний гімн.'],['Футбольна команда одягнена у біло-чорно.'],1,neutral,футбольний команда виступати за свій національний гімн .,ADJ NOUN VERB ADP DET ADJ NOUN PUNCT,футбольний команда одягнений у білий - чорно .,ADJ NOUN ADJ ADP ADV PUNCT ADV PUNCT
Деякі люди одягаються в костюми для вечірки.,Це Хеллоуін.,['Деякі люди одягаються в костюми для вечірки.'],['Це Хеллоуін.'],1,neutral,деякий людина одягатися в костюм для вечірка .,DET NOUN VERB ADP NOUN ADP NOUN PUNCT,це Хеллоуін .,PRON PROPN PUNCT
Група чорних дітей у білих сорочках сидять на скалах.,Діти сидять на скамейці.,['Група чорних дітей у білих сорочках сидять на скалах.'],['Діти сидять на скамейці.'],0,entailment,група чорний дитина у білий сорочка сидіти на скал .,NOUN ADJ NOUN ADP ADJ NOUN VERB ADP NOUN PUNCT,дитина сидіти на скамейка .,NOUN VERB ADP NOUN PUNCT
Жінка в апельсиновому танковому верхньому та окулярах з гуло-хулопом.,Самка використовує скачок.,['Жінка в апельсиновому танковому верхньому та окулярах з гуло-хулопом.'],['Самка використовує скачок.'],2,contradiction,жінка в апельсиновий танковий верхній та окуляри з гулий - хулоп .,NOUN ADP ADJ ADJ ADJ CCONJ NOUN ADP ADJ PUNCT NOUN PUNCT,самка використовувати скачка .,NOUN VERB NOUN PUNCT
Бейсбольний гравець у біло-чорній уніформі намагається зламати бейсбольний біл.,Гравець намагається злавити щось досить маленьке.,['Бейсбольний гравець у біло-чорній уніформі намагається зламати бейсбольний біл.'],['Гравець намагається злавити щось досить маленьке.'],0,entailment,бейсбольний гравець у білий - чорний уніформа намагатися зламати бейсбольний біл .,ADJ NOUN ADP ADJ PUNCT ADJ NOUN VERB VERB ADJ NOUN PUNCT,гравець намагатися злавити щось досить маленький .,NOUN VERB VERB PRON ADV ADJ PUNCT
Дві люди в хокейних формах на льді.,Хокейні гравці на льодовику.,['Дві люди в хокейних формах на льді.'],['Хокейні гравці на льодовику.'],0,entailment,два людина в хокейний форма на льді .,NUM NOUN ADP ADJ NOUN ADP NOUN PUNCT,хокейний гравка на льодовик .,ADJ NOUN ADP NOUN PUNCT
"Група велосипедистів, які їдуть велосипедом по дорозі.","Велосипеди насолоджуються весною, коли їдуть на велосипеді по дорозі","['Група велосипедистів, які їдуть велосипедом по дорозі.']","['Велосипеди насолоджуються весною, коли їдуть на велосипеді по дорозі']",1,neutral,"група велосипедист , який їхати велосипед по дорога .",NOUN NOUN PUNCT DET VERB NOUN ADP NOUN PUNCT,"велосипед насолоджуватися весною , коли їхати на велосипедь по дорога",NOUN VERB NOUN PUNCT ADV VERB ADP NOUN ADP NOUN
"Жінка в рожевому капусті і рожевому джинсу, що тримає чорну сумочку, курить, а інші люди в капусті стоять на стенді і віддають щось безкоштовно.",Вони пара.,"['Жінка в рожевому капусті і рожевому джинсу, що тримає чорну сумочку, курить, а інші люди в капусті стоять на стенді і віддають щось безкоштовно.']",['Вони пара.'],1,neutral,"жінка в рожевий капуста і рожевий джинса , що тримати чорний сумочка , курити , а інший людина в капуста стояти на стенд і віддавати щось безкоштовно .",NOUN ADP ADJ NOUN CCONJ ADJ NOUN PUNCT SCONJ VERB ADJ NOUN PUNCT VERB PUNCT CCONJ DET NOUN ADP NOUN VERB ADP NOUN CCONJ VERB PRON ADV PUNCT,вони пара .,PRON NOUN PUNCT
Хлопчик без сорочки ударує по снігу.,Хлопчик кидає сніг,['Хлопчик без сорочки ударує по снігу.'],['Хлопчик кидає сніг'],0,entailment,хлопчик без сорочка ударувати по сніг .,NOUN ADP NOUN VERB ADP NOUN PUNCT,хлопчик кидавати сніг,NOUN VERB NOUN
"Жінка сидить з поліцейським, коли він виконує доповідь.",Жінка здійснила злочин.,"['Жінка сидить з поліцейським, коли він виконує доповідь.']",['Жінка здійснила злочин.'],1,neutral,"жінка сидіти з поліцейський , коли він виконувати доповідь .",NOUN VERB ADP NOUN PUNCT ADV PRON VERB NOUN PUNCT,жінка здійснити злочин .,NOUN VERB NOUN PUNCT
"Люди, які ходять по пустелі, виглядають згубними.",Люди ходять по пустельному полі.,"['Люди, які ходять по пустелі, виглядають згубними.']",['Люди ходять по пустельному полі.'],0,entailment,"людина , який ходити по пустель , виглядати згубний .",NOUN PUNCT DET VERB ADP NOUN PUNCT VERB ADJ PUNCT,людина ходити по пустельний поле .,NOUN VERB ADP ADJ NOUN PUNCT
Дві молодіжні футбольні команди грають у гру,Обидві команди - суперники.,['Дві молодіжні футбольні команди грають у гру'],['Обидві команди - суперники.'],1,neutral,два молодіжний футбольний команда грати у гра,NUM ADJ ADJ NOUN VERB ADP NOUN,обидва команда - суперник .,NUM NOUN PUNCT NOUN PUNCT
"Троє молодих людей читають таблицю на дерев'яному хресті в скалистому ландшафті, один молодий чоловік розмовляє на мобільний телефон.","Три хлопці читають на хресті, а інший - на телефоні.","[""Троє молодих людей читають таблицю на дерев'яному хресті в скалистому ландшафті, один молодий чоловік розмовляє на мобільний телефон.""]","['Три хлопці читають на хресті, а інший - на телефоні.']",0,entailment,"троє молодий людина читати таблиця на дерев’яний хресть в скалистий ландшафт , один молодий чоловік розмовляти на мобільний телефон .",NUM ADJ NOUN VERB NOUN ADP ADJ NOUN ADP ADJ NOUN PUNCT DET ADJ NOUN VERB ADP ADJ NOUN PUNCT,"три хлопець читати на хресть , а інший - на телефон .",NUM NOUN VERB ADP NOUN PUNCT CCONJ DET PUNCT ADP NOUN PUNCT
Чоловік чистить свою човник на під'їзді.,Чоловік чистить човен.,"[""Чоловік чистить свою човник на під'їзді.""]",['Чоловік чистить човен.'],0,entailment,чоловік чистити свій човник на під’їзд .,NOUN VERB DET NOUN ADP NOUN PUNCT,чоловік чистити човен .,NOUN VERB NOUN PUNCT
Перед сидячими натовпом чоловік з сирою бородою отримує від молодшого чоловіка в чорній сорочки стримування бороди.,Чоловіку стрибають бороду.,['Перед сидячими натовпом чоловік з сирою бородою отримує від молодшого чоловіка в чорній сорочки стримування бороди.'],['Чоловіку стрибають бороду.'],0,entailment,перед сидячий натовп чоловік з сира борода отримувати від молодший чоловік в чорний сорочка стримування борода .,ADP ADJ NOUN NOUN ADP NOUN NOUN VERB ADP ADJ NOUN ADP ADJ NOUN NOUN NOUN PUNCT,чоловік стрибати борода .,NOUN VERB NOUN PUNCT
"Дві собаки на полі, зі зіштовхуються.",Дві кішки обіймаються на дивані,"['Дві собаки на полі, зі зіштовхуються.']",['Дві кішки обіймаються на дивані'],2,contradiction,"два собака на поле , зі зіштовхуватися .",NUM NOUN ADP NOUN PUNCT ADP VERB PUNCT,два кішка обійматися на диван,NUM NOUN VERB ADP NOUN
Жінська команда з Росії грає в баскетбол.,Вони найкраща команда в світі.,['Жінська команда з Росії грає в баскетбол.'],['Вони найкраща команда в світі.'],1,neutral,жінський команда з Росія грати в баскетбол .,ADJ NOUN ADP PROPN VERB ADP NOUN PUNCT,вони найкращий команда в світ .,PRON ADJ NOUN ADP NOUN PUNCT
"Сім'я, яка позирує на фото в басейні під час виходу на купальні.","Деякі люди плавають, усміхаючись перед камерою.","[""Сім'я, яка позирує на фото в басейні під час виходу на купальні.""]","['Деякі люди плавають, усміхаючись перед камерою.']",1,neutral,"сім’я , який позирувати на фото в басейн під час вихід на купальний .",NOUN PUNCT DET VERB ADP NOUN ADP NOUN ADP NOUN NOUN ADP ADJ PUNCT,"деякий людина плавати , усміхатися перед камера .",DET NOUN VERB PUNCT VERB ADP NOUN PUNCT
Дві діти насолоджуються на трамполіні.,Дві діти грають на трамполіні після школи.,['Дві діти насолоджуються на трамполіні.'],['Дві діти грають на трамполіні після школи.'],1,neutral,два дитина насолоджуватися на трамполіна .,NUM NOUN VERB ADP NOUN PUNCT,два дитина грати на трамполіна після школа .,NUM NOUN VERB ADP NOUN ADP NOUN PUNCT
"Жінка в чорній сорочки і джинсах, з червоним свитером, пов'язаним навколо плеч, гакати, коли сидить на стільці на відкритому повітрі.",Жінка готує вечерю.,"[""Жінка в чорній сорочки і джинсах, з червоним свитером, пов'язаним навколо плеч, гакати, коли сидить на стільці на відкритому повітрі.""]",['Жінка готує вечерю.'],2,contradiction,"жінка в чорний сорочка і джинса , з червоний свитер , пов’язаний навколо плеч , гакати , коли сидіти на стілець на відкритий повітря .",NOUN ADP ADJ NOUN CCONJ NOUN PUNCT ADP ADJ NOUN PUNCT ADJ ADP NOUN PUNCT VERB PUNCT ADV VERB ADP NOUN ADP ADJ NOUN PUNCT,жінка готувати вечеря .,NOUN VERB NOUN PUNCT
"Чорно-білий собака носить палку в роті, коли плаває в чистій воді.",Собака веде чудово.,"['Чорно-білий собака носить палку в роті, коли плаває в чистій воді.']",['Собака веде чудово.'],1,neutral,"чорний - білий собака носити палка в рота , коли плавати в чистий вода .",ADJ PUNCT ADJ NOUN VERB NOUN ADP NOUN PUNCT ADV VERB ADP ADJ NOUN PUNCT,собака вести чудово .,NOUN VERB ADV PUNCT
Члени метлового гурту дивляться на ноти.,Музиканти дивляться на ноти.,['Члени метлового гурту дивляться на ноти.'],['Музиканти дивляться на ноти.'],0,entailment,член метловий гурт дивитися на нота .,NOUN ADJ NOUN VERB ADP NOUN PUNCT,музикант дивитися на нота .,NOUN VERB ADP NOUN PUNCT
"Чоловік, який старий, має довгий білий уса.",Дядя дозволяє своєму внуку гратися у мустаки.,"['Чоловік, який старий, має довгий білий уса.']",['Дядя дозволяє своєму внуку гратися у мустаки.'],1,neutral,"чоловік , який старий , мати довгий білий уса .",NOUN PUNCT DET ADJ PUNCT VERB ADJ ADJ ADV PUNCT,Дядя дозволяти свій внук гратися у мустак .,PROPN VERB DET NOUN VERB ADP NOUN PUNCT
"Чоловік у довшому чорному пальто з палкою ходить поруч з автобусом, де пасажир відклав голову на руку.","Пасажир автобусу відпочиває голову, а чоловік з палкою ходить поруч з автобусом.","['Чоловік у довшому чорному пальто з палкою ходить поруч з автобусом, де пасажир відклав голову на руку.']","['Пасажир автобусу відпочиває голову, а чоловік з палкою ходить поруч з автобусом.']",0,entailment,"чоловік у довший чорний пальто з палка ходити поруч з автобус , де пасажир відклати голова на рука .",NOUN ADP ADJ ADJ NOUN ADP NOUN VERB ADV ADP NOUN PUNCT ADV NOUN VERB NOUN ADP NOUN PUNCT,"пасажир автобус відпочивати голова , а чоловік з палка ходити поруч з автобус .",NOUN NOUN VERB NOUN PUNCT CCONJ NOUN ADP NOUN VERB ADV ADP NOUN PUNCT
Дитина в смужному сорочку і шортах до коліна стоїть вправо.,Чоловік біжить по трасі.,['Дитина в смужному сорочку і шортах до коліна стоїть вправо.'],['Чоловік біжить по трасі.'],2,contradiction,дитина в смужний сорочка і шорт до коліно стояти вправо .,NOUN ADP ADJ NOUN CCONJ NOUN ADP NOUN VERB ADV PUNCT,чоловік бігти по трасі .,NOUN VERB ADP NOUN PUNCT
Одна собака стрибає на іншу собаку за огородом в сніжний день.,Дві собаки біля оголу і снігає.,['Одна собака стрибає на іншу собаку за огородом в сніжний день.'],['Дві собаки біля оголу і снігає.'],0,entailment,один собака стрибати на інший собака за огород в сніжний день .,DET NOUN VERB ADP DET NOUN ADP NOUN ADP ADJ NOUN PUNCT,два собака біля огола і снігати .,NUM NOUN ADP NOUN CCONJ VERB PUNCT
"Чоловік, який вітається на тенісній м'яч з зеленим знаком, який пише ""Спорт знайомих"".",Чоловік носить взуття.,"['Чоловік, який вітається на тенісній м\'яч з зеленим знаком, який пише ""Спорт знайомих"".']",['Чоловік носить взуття.'],1,neutral,"чоловік , який вітатися на тенісний м’яч з зелений знак , який писати "" спорт знайомі "" .",NOUN PUNCT DET VERB ADP ADJ NOUN ADP ADJ NOUN PUNCT DET VERB PUNCT NOUN NOUN PUNCT PUNCT,чоловік носити взуття .,NOUN VERB NOUN PUNCT
Група дітей і дорослих їздить на велосипедах на грунтовій дорозі в лісі.,Люди їдуть на велосипедах.,['Група дітей і дорослих їздить на велосипедах на грунтовій дорозі в лісі.'],['Люди їдуть на велосипедах.'],0,entailment,група дитина і дорослий їздити на велосипед на грунтовий дорога в ліс .,NOUN NOUN CCONJ NOUN VERB ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT,людина їхати на велосипед .,NOUN VERB ADP NOUN PUNCT
Діти сидять на краю і розмовляють.,Люди сидять.,['Діти сидять на краю і розмовляють.'],['Люди сидять.'],0,entailment,дитина сидіти на край і розмовляти .,NOUN VERB ADP NOUN CCONJ VERB PUNCT,людина сидіти .,NOUN VERB PUNCT
Страшній чоловік у кухні тримає своє м'ясо високо в повітрі.,Чоловік тримає м'ясо.,"[""Страшній чоловік у кухні тримає своє м'ясо високо в повітрі.""]","[""Чоловік тримає м'ясо.""]",0,entailment,страшній чоловік у кухня тримати свій м’ясо високо в повітря .,ADJ NOUN ADP NOUN VERB DET NOUN ADV ADP NOUN PUNCT,чоловік тримати м’ясо .,NOUN VERB NOUN PUNCT
"Коричнева і біла собака, що бегло по води до іграшки.",Дві собаки гоняться через луби на вулиці.,"['Коричнева і біла собака, що бегло по води до іграшки.']",['Дві собаки гоняться через луби на вулиці.'],1,neutral,"коричневий і білий собака , що бегти по вода до іграшка .",ADJ CCONJ ADJ NOUN PUNCT SCONJ VERB ADP NOUN ADP NOUN PUNCT,два собака гонитися через луб на вулиця .,NUM NOUN VERB ADP NOUN ADP NOUN PUNCT
"Чоловік у червоних шортах, який стоїть на скалах біля річки",Чоловік на вулиці у червоних шортах.,"['Чоловік у червоних шортах, який стоїть на скалах біля річки']",['Чоловік на вулиці у червоних шортах.'],0,entailment,"чоловік у червоний шорт , який стояти на скал біля річка",NOUN ADP ADJ NOUN PUNCT DET VERB ADP NOUN ADP NOUN,чоловік на вулиця у червоний шорт .,NOUN ADP NOUN ADP ADJ NOUN PUNCT
Чоловік у білих носках їздить на велосипеді.,Дівчина в колінових чорапах позирує на фото.,['Чоловік у білих носках їздить на велосипеді.'],['Дівчина в колінових чорапах позирує на фото.'],2,contradiction,чоловік у білий носок їздити на велосипедь .,NOUN ADP ADJ NOUN VERB ADP NOUN PUNCT,дівчина в коліновий чорап позирувати на фото .,NOUN ADP ADJ NOUN VERB ADP NOUN PUNCT
"Чоловік, який тримає скейтборд під блакитним небом з білими хмарами з будівлями на задньому плані.","Чоловік, який опинився на стіні.","['Чоловік, який тримає скейтборд під блакитним небом з білими хмарами з будівлями на задньому плані.']","['Чоловік, який опинився на стіні.']",1,neutral,"чоловік , який тримати скейтборд під блакитний небо з білий хмара з будівля на задній план .",NOUN PUNCT DET VERB NOUN ADP ADJ NOUN ADP ADJ NOUN ADP NOUN ADP ADJ NOUN PUNCT,"чоловік , який опинитися на стіна .",NOUN PUNCT DET VERB ADP NOUN PUNCT
Оранжеві будівельні вантажівики проїжджають по загарбленому чотирипростожному вулиці в центрі міського міського центру.,Деякі вантажівки рухаються,['Оранжеві будівельні вантажівики проїжджають по загарбленому чотирипростожному вулиці в центрі міського міського центру.'],['Деякі вантажівки рухаються'],0,entailment,оранжевий будівельний вантажівик проїжджати по загарблений чотирипростожний вулиця в центр міський міський центр .,ADJ ADJ NOUN VERB ADP ADJ ADJ NOUN ADP NOUN ADJ ADJ NOUN PUNCT,деякий вантажівка рухатися,DET NOUN VERB
Парк-ренджер виглядає дуже жорстоко сьогодні,Парковий рейнджер порікає камермена.,['Парк-ренджер виглядає дуже жорстоко сьогодні'],['Парковий рейнджер порікає камермена.'],1,neutral,парк - ренджер виглядати дуже жорстоко сьогодні,NOUN PUNCT NOUN VERB ADV ADV ADV,парковий рейнджер порікати камермен .,ADJ NOUN VERB NOUN PUNCT
"Велосипеди стрибають в повітря, коли їх спостерігають глядачі.",Глядачі щось дивляться.,"['Велосипеди стрибають в повітря, коли їх спостерігають глядачі.']",['Глядачі щось дивляться.'],0,entailment,"велосипед стрибати в повітря , коли вони спостерігати глядач .",NOUN VERB ADP NOUN PUNCT ADV PRON VERB NOUN PUNCT,глядач щось дивитися .,NOUN PRON VERB PUNCT
Серфінг у чорному костюмі їздить на хвилі біля берега,Серфінг на серфінговой таблі.,['Серфінг у чорному костюмі їздить на хвилі біля берега'],['Серфінг на серфінговой таблі.'],0,entailment,серфінг у чорний костюм їздити на хвиля біля берег,NOUN ADP ADJ NOUN VERB ADP NOUN ADP NOUN,серфінг на серфінговий табля .,NOUN ADP ADJ NOUN PUNCT
Група людей стоїть в розпущеному ряді на кирпічній землі.,На вулиці є група людей.,['Група людей стоїть в розпущеному ряді на кирпічній землі.'],['На вулиці є група людей.'],0,entailment,група людина стояти в розпущений ряд на кирпічний земля .,NOUN NOUN VERB ADP ADJ NOUN ADP ADJ NOUN PUNCT,на вулиця бути група людина .,ADP NOUN VERB NOUN NOUN PUNCT
Восточна дівчина тримає малюка в руках.,Дівчина тримає малюка.,['Восточна дівчина тримає малюка в руках.'],['Дівчина тримає малюка.'],0,entailment,восточний дівчина тримати малюка в рука .,ADJ NOUN VERB NOUN ADP NOUN PUNCT,дівчина тримати малюка .,NOUN VERB NOUN PUNCT
Місто з автомобілями і людьми з гігантським хмарочосом.,Це пік-час.,['Місто з автомобілями і людьми з гігантським хмарочосом.'],['Це пік-час.'],1,neutral,місто з автомобіль і людина з гігантський хмарочос .,NOUN ADP NOUN CCONJ NOUN ADP ADJ NOUN PUNCT,це пік - час .,PRON NOUN PUNCT NOUN PUNCT
Чоловік на велосипеді в повітрі,Чоловік намагається отримати світовий рекорд за бік-тики.,['Чоловік на велосипеді в повітрі'],['Чоловік намагається отримати світовий рекорд за бік-тики.'],1,neutral,чоловік на велосипедь в повітря,NOUN ADP NOUN ADP NOUN,чоловік намагатися отримати світовий рекорд за бік - тика .,NOUN VERB VERB ADJ NOUN ADP NOUN PUNCT NOUN PUNCT
"Жінка з білим візуром, синьою верхньою і білими штанами, що їсть, стоячи в натовпі.",Жінка їсть перед іншими.,"['Жінка з білим візуром, синьою верхньою і білими штанами, що їсть, стоячи в натовпі.']",['Жінка їсть перед іншими.'],0,entailment,"жінка з білий візур , синій верхній і білий штани , що їсти , стояти в натовп .",NOUN ADP ADJ NOUN PUNCT ADJ ADJ CCONJ ADJ NOUN PUNCT SCONJ VERB PUNCT VERB ADP NOUN PUNCT,жінка їсти перед інший .,NOUN VERB ADP DET PUNCT
"Чоловік з темно-крутіми волоссями, який грає на гітарі поруч з кока-машиною.",Чоловік грає за бакшіти поруч з кокаїною.,"['Чоловік з темно-крутіми волоссями, який грає на гітарі поруч з кока-машиною.']",['Чоловік грає за бакшіти поруч з кокаїною.'],1,neutral,"чоловік з темно - крутий волосся , який грати на гітар поруч з кік - машина .",NOUN ADP ADJ PUNCT ADJ NOUN PUNCT DET VERB ADP NOUN ADV ADP NOUN PUNCT NOUN PUNCT,чоловік грати за бакшіт поруч з кокаїна .,NOUN VERB ADP NOUN ADV ADP NOUN PUNCT
"Група людей дивиться старі пару, які стоять поруч з чоловіком з ковбоїцькою шапкою і гітарою.","Група дивилася, як старі пара танцює перед чоловіком з гітарою.","['Група людей дивиться старі пару, які стоять поруч з чоловіком з ковбоїцькою шапкою і гітарою.']","['Група дивилася, як старі пара танцює перед чоловіком з гітарою.']",1,neutral,"група людина дивитися старий пара , який стояти поруч з чоловік з ковбоїцький шапка і гітара .",NOUN NOUN VERB ADJ NOUN PUNCT DET VERB ADV ADP NOUN ADP ADJ NOUN CCONJ NOUN PUNCT,"група дивитися , як старий пара танцювати перед чоловік з гітара .",NOUN VERB PUNCT SCONJ ADJ NOUN VERB ADP NOUN ADP NOUN PUNCT
Чоловік намагається допомогти жінці в бікіні перейти з одного доку до іншого.,Чоловік намагається підняти дівчину,['Чоловік намагається допомогти жінці в бікіні перейти з одного доку до іншого.'],['Чоловік намагається підняти дівчину'],1,neutral,чоловік намагатися допомогти жінка в бікін перейти з один дік до інший .,NOUN VERB VERB NOUN ADP NOUN VERB ADP DET NOUN ADP DET PUNCT,чоловік намагатися підняти дівчина,NOUN VERB VERB NOUN
"Гурт під назвою Sun Chasers грає на своїх інструментах, а поруч відкрито депо для пожертвовань.","Група грає свої нові пісні на вулиці, просячи пожертвований.","['Гурт під назвою Sun Chasers грає на своїх інструментах, а поруч відкрито депо для пожертвовань.']","['Група грає свої нові пісні на вулиці, просячи пожертвований.']",1,neutral,"гурт під назва Sun Chasers грати на свій інструмент , а поруч відкрито депо для пожертвовання .",NOUN ADP NOUN X X VERB ADP DET NOUN PUNCT CCONJ ADV VERB NOUN ADP NOUN PUNCT,"група грати свій новий пісня на вулиця , просити пожертвований .",NOUN VERB DET ADJ NOUN ADP NOUN PUNCT VERB ADJ PUNCT
