premise_clean,hypothesis_clean,labels,label_name
"Дві собаки на полі, зі зіштовхуються.",Дві кішки обіймаються на дивані,2,contradiction
Жінська команда з Росії грає в баскетбол.,Вони найкраща команда в світі.,1,neutral
"сім'я, яка позирує на фото в басейні під час виходу на купальні.","Деякі люди плавають, усміхаючись перед камерою.",1,neutral
Дві діти насолоджуються на трамполіні.,Дві діти грають на трамполіні після школи.,1,neutral
"Жінка в чорній сорочки і джинсах, з червоним свитером, пов'язаним навколо плеч, гакати, коли сидить на стільці на відкритому повітрі.",Жінка готує вечерю.,2,contradiction
"Чорно-білий собака носить палку в роті, коли плаває в чистій воді.",Собака веде чудово.,1,neutral
Члени метлового гурту дивляться на ноти.,Музиканти дивляться на ноти.,0,entailment
"Чоловік, який старий, має довгий білий уса.",Дядя дозволяє своєму внуку гратися у мустаки.,1,neutral
"Чоловік у довшому чорному пальто з палкою ходить поруч з автобусом, де пасажир відклав голову на руку.","Пасажир автобусу відпочиває голову, а чоловік з палкою ходить поруч з автобусом.",0,entailment
Дитина в смужному сорочку і шортах до коліна стоїть вправо.,Чоловік біжить по трасі.,2,contradiction
Одна собака стрибає на іншу собаку за огородом в сніжний день.,Дві собаки біля оголу і снігає.,0,entailment
"Чоловік, який вітається на тенісній м'яч з зеленим знаком, який пише ""Спорт знайомих"".",Чоловік носить взуття.,1,neutral
Група дітей і дорослих їздить на велосипедах на грунтовій дорозі в лісі.,Люди їдуть на велосипедах.,0,entailment
Діти сидять на краю і розмовляють.,Люди сидять.,0,entailment
Страшній чоловік у кухні тримає своє м'ясо високо в повітрі.,Чоловік тримає м'ясо.,0,entailment
"Коричнева і біла собака, що бегло по води до іграшки.",Дві собаки гоняться через луби на вулиці.,1,neutral
"Чоловік у червоних шортах, який стоїть на скалах біля річки",Чоловік на вулиці у червоних шортах.,0,entailment
Чоловік у білих носках їздить на велосипеді.,Дівчина в колінових чорапах позирує на фото.,2,contradiction
"Чоловік, який тримає скейтборд під блакитним небом з білими хмарами з будівлями на задньому плані.","Чоловік, який опинився на стіні.",1,neutral
Оранжеві будівельні вантажівики проїжджають по загарбленому чотирипростожному вулиці в центрі міського міського центру.,деякі вантажівки рухаються,0,entailment
Парк-ренджер виглядає дуже жорстоко сьогодні,Парковий рейнджер порікає камермена.,1,neutral
"Велосипеди стрибають в повітря, коли їх спостерігають глядачі.",Глядачі щось дивляться.,0,entailment
Серфінг у чорному костюмі їздить на хвилі біля берега,Серфінг на серфінговой таблі.,0,entailment
Група людей стоїть в розпущеному ряді на кирпічній землі.,На вулиці є група людей.,0,entailment
Восточна дівчина тримає малюка в руках.,Дівчина тримає малюка.,0,entailment
Місто з автомобілями і людьми з гігантським хмарочосом.,Це пік-час.,1,neutral
Чоловік на велосипеді в повітрі,Чоловік намагається отримати світовий рекорд за бік-тики.,1,neutral
"Жінка з білим візуром, синьою верхньою і білими штанами, що їсть, стоячи в натовпі.",Жінка їсть перед іншими.,0,entailment
"Чоловік з темно-крутіми волоссями, який грає на гітарі поруч з кока-машиною.",Чоловік грає за бакшіти поруч з кокаїною.,1,neutral
"Група людей дивиться старі пару, які стоять поруч з чоловіком з ковбоїцькою шапкою і гітарою.","Група дивилася, як старі пара танцює перед чоловіком з гітарою.",1,neutral
Чоловік намагається допомогти жінці в бікіні перейти з одного доку до іншого.,Чоловік намагається підняти дівчину,1,neutral
"Гурт під назвою Sun Chasers грає на своїх інструментах, а поруч відкрито депо для пожертвовань.","Група грає свої нові пісні на вулиці, просячи пожертвований.",1,neutral
Жінка співає в мікрофон.,Жінка співає на вечірці,1,neutral
Жінка в чорному і колена на ролінових коньках з рогами на обличчі оленя на вершині кашу.,"Жінка, яка їздить на сноуборі з гори, оскільки сильно снігає.",2,contradiction
Чоловік у традиційній православної єврейській сукні бачить ззаду один.,Чоловік збирається ходити в церкву.,1,neutral
"Люди, які стоять на скелях, працюють.",Робітники малюють на скелі.,1,neutral
"Чорна собака, що пробігає через траву.",Собака на вулиці.,0,entailment
Персонал ресторана чистить стіли.,Ресторан закривається на ніч.,1,neutral
"Сім'я за столом з кольоровими тарільками, готуючись їсти",На тарілах є кукуруза.,1,neutral
Група людей ходить по вулиці.,Група людей грає в бейсбол.,2,contradiction
"Чоловік сидить проти будівлі, використовуючи інструменти.","Є чоловік, який стоїть і нічого не робить на вулиці.",2,contradiction
"Два противника, один у синій і один у білі, спріють.","Дві собаки, які грають у лов.",2,contradiction
"Чоловік стриже шию, але не бороду.",Чоловік використовує електричний бриз для обрізки шиї.,1,neutral
Молодий хлопчик у синій футболі з лагера ротари кидає м'яч.,Дівчата грали разом.,2,contradiction
Футбольний гравця номер 13 робить стрілку на гол з чотирма захисниками і воротарцем.,Людина грає в футбол.,0,entailment
Хтось відновлює цю структуру.,Строитель відбудує будівлю.,1,neutral
"Жінка середнього віку, що ходить по пустелі.",Ця жінка спортсменка.,1,neutral
"Маленька дівчинка грає в гру ""Дербі"" в аркаді",Маленька дівчинка їсть морозиво.,2,contradiction
Дві чоловіки займають перерву під час роботи.,Два людини відпадують.,0,entailment
Деякі чоловіки стоять перед будівлею поруч з паркованою машиною.,Чоловік на вулиці.,1,neutral
Люди на пляжі шукають речі в піску,"Дві люди в гігантській горшіна, повній сіропу з опірового.",2,contradiction
Дві старші жінки і дівчина сидять з лісом на задньому плані.,Три людини сидять біля лісу.,0,entailment
"Жінка в синій передає хліб іншій жінці, а чоловік у червоній рубаші дивиться на транзакцію.","Жінка, яка їздить на коні на фермі.",2,contradiction
"Великий соровий собака лежить на землі, дивлячись в сторону.",собака біжить на полі,2,contradiction
"Строительські працівники, які одягають жовті відбитої жилети, дивляться на камеру, усміхаючись.",Строительська команда закінчила роботу,1,neutral
Футбольний гравця у зеленої футболі збігається з поля.,Чоловік вибегає з човна.,2,contradiction
Чорнокоса жінка за подиумом виступає перед великою натовпом.,Фанів дивиться футбольний матч.,2,contradiction
"Дві команди екіпажу плавають по березі, як спостерігачі спостерігають.",Дві команди гребляться по березі.,0,entailment
Жінка готує каву в кафе.,Батіста робить клієнту каву.,1,neutral
"Жінка розбудована і збирається видати пляшку вина, коли за нею стоїть хлопчик, який виглядає дуже занепокоєним.",Жінка апатична.,2,contradiction
"П'ять людей стоять на мосту, а один з людей, голодий чоловік у коричневій рубашке і джинсах, вказує від мосту.",Деякі люди стоять на мосту,0,entailment
Цей чоловік з касой робить трюк на велосипеді на відкритому повітрі.,"На велосипеді є жінка, яка робить відбіжки.",1,neutral
панель маленького літаку.,Літак має управління.,0,entailment
Дві чоловіки і жінка грають у гру з модульними дошками і кольоровими дерев'яними фігурами.,Люди спить.,2,contradiction
"Два чоловіки, які борються на ковдру перед натовпом і офіцером.","Мужчини - найкращі друзі, які намагаються вирішити ставку про те, хто кращий у боротьбі.",1,neutral
"Бізнесмен у костюмі розмовляє по мобільному телефону, коли йде по натовпній вулиці.",Ходіць в лісі прогуляється по тихому склоні гори,2,contradiction
"Дві особи, які одягаються в жовті, грають на інструментах і лягають біля трави.",Вони всередині.,2,contradiction
"Маленьке дитину, що працює на кухні, на обличчі витягнуто порошок.",Дитина пече їжу.,1,neutral
Чоловік у жилеті читає газету.,Чоловік холодний.,1,neutral
Спортсменка стрибає на велику стіну.,Хтось стрибає.,0,entailment
Люди сидять на скалах на тротуар.,Люди сидять на тротуар.,2,contradiction
Маленький хлопчик з рюкзаком наближається до каменного арку.,Хлопчик з рюкзаком у кіно.,2,contradiction
"Жінка, яка катається на роліновому дербі, носить червону кашу з білою зіркою на ній.","Смутна жінка, яка катається на роліновому дербі, одягнена в червону кашу з білою зіркою на ній.",1,neutral
"Чоловік у темнокольовому свитересні посміхається, тримаючи склянку пива.",Чоловік їде на роботу.,2,contradiction
"На полі стоїть велика група чоловіків у військових одягах, а за ними - натовп.","Є люди, які водяні балони бій.",2,contradiction
Люди ходять і бігають по парковому шляху.,"Люди, які займаються спортом",0,entailment
"Чоловік, який носить шлем і рюкзак, тримає велосипед перед магазином.",Чоловік втомився від їзди на велосипеді.,1,neutral
Строительські працівники встановлюють світловий стол.,Це важка робота.,1,neutral
Дві собаки грають на жорсткому плані.,Дві собаки грають з м'ячкою на вулиці.,1,neutral
Чоловік грає з білондам на задньому дворі з коричневою травою.,Дві діти грають всередині.,2,contradiction
Люди відвідують стадіон.,Люди відвідують стадіон.,0,entailment
Дівчина виступає на подиумі.,Дівчина виступає на виборах.,1,neutral
Дві члени групи носять шляпки з жовтіми пір'ями.,Дві чоловіки в шапках.,0,entailment
"Ось фотографія двох чоловіків, які висекують дерева.",Люди - лісоруби.,1,neutral
"Жінка стоїть на сході, змінює маркію.","Жінка-робітниця, що стоїть на сході, змінює маркію.",0,entailment
Дві маленькі білі собачки граються в снігу.,Дві люди на пляжі.,2,contradiction
Чоловік у апельсиновому пальто розгуляно кидає маленьку дівчинку в повітря на порожній пляжі в хмарний день.,У сонячний день люди насолоджуються водопроводством на місцевій річці.,2,contradiction
Дві діти грають на закрученому барелі.,Деякі діти на вулиці.,1,neutral
Жінка стоїть за прозорим лістком за великим дисплеєм десертів.,Високий людина за лістком,1,neutral
"Група студентів працює над проектом, а над головою виведені світові прапори.",Група студентів працює разом над школьним проектом.,0,entailment
"дві жінки, які працюють на дроті.",Три чоловіки танцюють з вогнем.,2,contradiction
Жінка в білої купальні капелюхи навчає малюка плавати в басейні.,Жінка з сином в озері.,2,contradiction
Чоловік у червоній куртці і джинсах стоїть поруч з колоною перед магазином.,"чоловік, який спить на лаві",2,contradiction
Жінка з дуже великою чорною перукою і гігантськими сонячними очками тримає дзеркало до обличчя.,Вона макіяжує.,1,neutral
"Маленька дівчинка, що вісела в віхті з чашкою.","Дитина п'є молоко з кубки, коли вісеє",1,neutral
"Три жінки працюють на полі, чотири діти і жінка, яка тримає дитячу годинку.",Жінки і діти плавають в басейні.,2,contradiction
"Три жінки сидять на парковому латуні, одна, старіша жінка, викопає щось заморожене з чашки, середня кусає нігті, а третя - драбує лотерейський квиток.",Людина сидить.,0,entailment
"На вулиці озера відбувається фестиваль, де кілька барабанщиків у червоних сорочках і чоловік на стрілах грає на барабанах.",Чоловік на стрільках грає на інструменті для людей на озері,1,neutral
Три чоловіки на човні на воді.,"три чоловіки, які плавають човеном",0,entailment
"чоловік, який займає соло-учасницьку під час класичного шоу.",Рокер рушить свою гітару на сцені.,2,contradiction
"Чоловік з поясом і веревкою, прив'язаним до талі, стоїть на вершині гори, на якій виходить вода.","Чоловік не помічає свого подвигу після того, як піднімається на гору.",0,entailment
"Дві молоді брюнетні жінки, обидві в чорних штанах і білих сорочках, сидять біля тротуара; одна з жінок курить сигарету.",Дві дівчата спить у ліжку.,2,contradiction
Дві діти біжать до лагуни.,дві дівчата грають у одяг,2,contradiction
"Молодий бігль, який грає на траві.",Шчанка-бігл сидить на килиху.,2,contradiction
"Дві хлопці, в маруновому свитере, інший у світло-синій, сидять в футболках і грають у відеоігри.",Дві хлопці в капуті грають в настольні ігри.,2,contradiction
"Дві люди, які полюються поспіді води.",Дві люди поцілуються.,0,entailment
Дитина лягає на землі біля м'яча перед паркованою машиною і веде ряд паркованих автомобілів на плячі дороги.,Дитина на землі.,0,entailment
Без футболки хлопець виконує трюк на маленькому велосипеді.,Чоловік виконує трюки на велосипеді.,0,entailment
"Маленький хлопчик з синім пальтою робить смішний обличчя, коли він ходить до трави.","Дитина ходила біля трави, роблячи смішний обличчя.",0,entailment
"Чоловік, який спить на літі на темній фотографії.",чоловік стрибає на ліжко,2,contradiction
"Чоловік у робочому костюмі, який щось ремонтує на трасі.",Чоловік не носить робочого костюму.,2,contradiction
"Постарша жінка в гарній одязі, молодий чоловік у синій штані і ветряний зламач стоять біля будівлі Hoyt Reality Group.","Старіша жінка стоїть в банку Америки, шукаючи кредит.",2,contradiction
"Футбольна гра, де 2 члени білої команди зіграють з одним членом червоної команди.","Є люди, які конкурують у спорті.",0,entailment
"Строительний працівник, який носить жовту шапку, кидає бруди в коляску.",Працівник допомагає завантажити бруди на робочому місці,0,entailment
"Девять чорно-коричневих пуг в гальцерах, які грають на травному газоні.",Собаки на вулиці.,0,entailment
"Жінка в рожевому пальто стоїть у снігу поруч з ""телефонною щеткою"", усміхаючись, як вона тримає невелику лопату.",Жінка збирається почати розчистити свій підхід.,1,neutral
Чорти хлопців з двох команд лакросу йдуть по полі під час гри.,Хлопці грають в лакрос на зеленому полі.,1,neutral
Жінка і дитина перед різдвяною деревою відкривають подарунки.,Мама і її син святкують Різдво разом.,1,neutral
"Жінка, одягненій у коричневе платьо з відповідним турбаном, виштовхує дитину через парк у своєму коляску.",У коляску знаходиться маленьке дитя.,0,entailment
"Детка в жовтій рубашке прогуляється в ручці, допомагаючи чоловіку в шортах і сандалах.",Чоловік кидає конфеті в повітря.,2,contradiction
"Жінка в апельсиновій рубашії схиляється до дверей, посміхається і курить сигарету.","Жінка схиляється до дверей, щоб подивитися, чи є хтось вдома.",1,neutral
"Діти грають на вулицях, а один тримає зброю, а доросла жінка проходить мимо.",На вулиці грають діти.,0,entailment
"Чоловік піднімає жінку в танці, як їх пози для фотографії, що приймається.",Чоловік піднімає жінку.,0,entailment
маленька дівчинка піднімає тарілку.,Дівчина піднімає тарілку.,0,entailment
Жінка тримає руку широкоокового малюка в різдвяному костюмі.,Леді і чоловік одягнуті як Санта і місіс Клаус,2,contradiction
Чотири молодих чоловіків і молода жінка на її мобільній телефон перебувають разом в кухні.,"Чотири молодих чоловіків говорять по телефону, а молода жінка на кухні годує собаку.",2,contradiction
Дві дорослики працюють над деревом,Дві дорослі малюють плани на папері.,2,contradiction
Три дівчата біжать на полі.,Три дівчата в середній школі готуються на тренингу.,1,neutral
"Азіатська пара сидить на дерев'яній скалах у лісовій зоні, читає і оглядає себе.",Азіатська пара знаходиться в національному парку.,1,neutral
"Чоловік, який їздить на велосипеді на полі.",Чоловік серфує.,2,contradiction
Чоловік викладає всю свою силу в спортзалі з великою кількістю ваги над головою.,"Чоловік, який конкурує з іншими в спортзалі.",1,neutral
"Маленька дівчинка, з темними волоссями і жовтою жилетом з полосовими штанами, приховує до кошиці квітів.",мавпа їсть яблуко,2,contradiction
"Білокосака собака малого до середнього розміру дивиться на власника, якого немає на фото.",Собака дивиться вгору.,0,entailment
"Дві люди знаходяться в річці, один - стоявший чоловік, а інший - це дитина, яка лежить на животі з грудьми і головою над водою.",Дві люди мають купальні костюми.,1,neutral
Чоловік у чорній куртці грає на гітарі.,Чоловік у чорній шкірної куртці грає на електричній гітарі.,1,neutral
Хлопчик у брудної рубашії ходить по океані.,Хлопчик прогуляється через океан.,0,entailment
Невеликий будинок сидить на скло гори поруч з грунтовим шляху.,На скло гори знаходиться поряд з грунтовим стежком.,0,entailment
"Чудова фотографія молодої жінки, яка стрибає в повітря.",Ніхто не стрибає.,2,contradiction
Серфборд підготується до хвилі.,Келлі Слейтер побачила свою першу хвилю змагань.,1,neutral
"Група людей старшого віку сидить під зонтом, який присвячує морську життя.",Група ветеранів сидить під тіні.,1,neutral
"Скейтбордер, який стрибає перед будівлею.",Хтось виконує трюки на скейтбордні за межами,0,entailment
П'ять джентльменів середнього віку виступають на сцені з струнними інструментами.,П'ять чоловіків скокнулися в натовп.,2,contradiction
"Собака, що стрибає над бар'єром.",Собака стрибає,0,entailment
"молодий хлопчик, який хвиляв струмом змішки",є дожджливий зміг,1,neutral
Новинна пара позирує перед красивою фонтаною.,Люди одягаються в весільну одяг.,0,entailment
"два маленьких хлопчиків, які грають у снігу",Два молодих чоловіків воюють зі сніговою м'ячкою.,2,contradiction
Ця кухня недавно обнажена.,Ця кімната не ремонтувалась вже роки.,2,contradiction
Жінка на стрільках робить для інших повітряні тварини.,жінка робить щось для дітей,1,neutral
Три людини переглядають місце події у прекрасну ніч.,Три людини дивляться на вулицю вночі.,0,entailment
Людина стрибає з тротуара на скейтборі.,"Чоловік на скейтборі, який намагається показати трюки.",1,neutral
"Чотири чоловіків відпочивають біля вантажівки, деякі з них п'ють каву.",Чоловіки роблять перерву з кавою.,0,entailment
"Одинокий чоловік на канові, тримаючи верт, насолоджуючись пейзажем синих гір і скляної води.",Чоловік намагається витягнути кано на берег.,2,contradiction
"Дві молоді жінки перед автоматом намагаються вирішити, що отримати.","Дві жінки вирішують, що отримати.",0,entailment
"У вас є маленька дівчинка, яка біжить до того, хто знімає фотографію в розовому платьці.",Маленька дівчинка важить 250 кілограмів.,2,contradiction
Група людей готується до м'юзиклу.,Деякі люди спить.,2,contradiction
Молодий чоловік чекає з іншими на тротуар.,на вулиці чекає група людей.,0,entailment
"Браньова собака, що плює в воду на березі водостоку або річки.",Собака сорове.,0,entailment
"Невелика група хлопців грає на саксофонах, а один чоловік грає на барабанах з ведрами.",Група їсть хот-доги на пікніку.,2,contradiction
Водій на велосипеді в повітрі виконує трюк.,Мотоцикліст робить трюк.,0,entailment
Заварці працюють над великою металевою барабанкою.,Сваркачі новинки в цій роботі.,1,neutral
"Чоловік у білому футболі намагається забить, а його суперник намагається зламати м'яч.",чоловік - спортсмен.,1,neutral
Дві великі чорні собаки хркають один на одного.,Собаки коричневі.,2,contradiction
Люди стоять в кімнаті з кольоровими повітряними шарами.,Люди з кольоровими повітряними шарами.,0,entailment
"Маленький хлопчик, одягнений у жовту і червону футболку, фарбуваючи на папері з синим олівцем.",Хлопчик малює з вугілля.,2,contradiction
"Жінка з коричневими волоссями, одягненій у червону платьку з пунктими, співає в мікрофон.",жінка співає,0,entailment
"Хлопчик у мокрой червоній сорочки дає воду черепахи, а хлопчик у одязі Spiderman і інші дивляться.",Дві маленькі діти біля тварини.,0,entailment
"Молодий досвідчений серфінг у Каліфорнії, який насолоджується хвилями в сонячну суботу.",Професійний серфінг серфує в суботу в Каліфорнії.,0,entailment
Один чоловік з футболом і два без футболу чоловіки грають футбол на піску перед публікою.,Три чоловіки грають в футбол.,0,entailment
"молода дівчина, яка займається карате, кидає до табло, а інші дивляться",Ніхто не займається карате,2,contradiction
Хлопчик без футболку і хлопчик у зелено-білому грають на бетонній поверхні біля маленької сцені.,Дві хлопці одягаються.,1,neutral
Маленький хлопчик у маленькому колищі.,Хлопчик сидить на маленькому віху.,1,neutral
"Чоловік, що посміхається, коли він їздить великим вантажом.",На пасажирському сидінці хтось.,1,neutral
Четири собак-грайхоунди гоняться один проти одного в гонці.,Найшвидший собака виграє гонку.,1,neutral
Азіатська жінка з ковчегом продукції.,Жінка розгуляється.,2,contradiction
"Працівники працюють на залізничному тунелі, який йде з Уемблі-Парка до Стенмор.",Робітники підсилюють і заправляють печерні в туннелі.,1,neutral
чоловік уважно перевіряє плитки на даху.,Чоловік намагається виправити дах.,0,entailment
Чоловік сидить на дивані під мостом і мусор навколо нього.,Чоловік дивиться телевізор удома.,2,contradiction
Пожарник затягує запис з управління натовпом.,Пожарник охоплює місце з касетою.,1,neutral
Старіший чоловік ходить в парку з двома морозильниками.,Старий чоловік сидить,2,contradiction
"Там чорна собака, яка стрибає в басейн.",Чорна собака хоче піти поплавати.,1,neutral
Кошарковий гравець дивиться вгору і готовий кинути м'яч.,Гравець - відмінний пробіг.,1,neutral
Маленький хлопчик допомагає прикрасити різдвяне дерево.,Різдвове дерево окрашують.,0,entailment
Азіатський хлопчик розмовляє зі своїм другом поруч з содовою машиною.,Хлопчик читає сам.,2,contradiction
Три людини сидять в відкритому кафе.,Три людини стоять у черзі.,2,contradiction
Дві хлопці носять сонячні окуляри і шляпки.,"Дві чоловіки в монокле, демонструючи волосся.",2,contradiction
"Сноубордер, який летів з скаку.",Снеубордіст сидів біля вогню і ніколи не стрибав.,2,contradiction
Дві люди дивляться на вид.,Там три людини.,2,contradiction
"Люди, які розважають про своє життя в переповненим поїзді",Люди переїжджають літаючим поїздом.,2,contradiction
"Дівчина грає в теніс, а глядач дивиться ззаду.",Дівчина грає в баскетбол сама.,2,contradiction
"Кухар в білому і чорному (і білий кухарський шапку) піднімає ложку, повну свого недавно виготовленої супи з великої горшки з нержавеючої сталі.",Кухар тестуває суп.,1,neutral
Кілька людей об'єднуються на вулиці в лісі в купальних костюмах.,Люди розмовляють в кімнаті.,2,contradiction
Люди на вулицях ходять і розмовляють,Люди на вулиці.,0,entailment
"Три чоловіки, два у білих сорочках, один у синій, сиділи на стільцях навколо столу і пили кілька пива.",Деякі хлопці сидять за столом і п'ють пиво.,0,entailment
"Один чоловік у червоній зіпсовій палітіку дивився, як інший чоловік у чорній палітіку стрибає в повітрі, а на задньому плане сидить чорна машина Audi з європейськими номерами номерів і велика будівля з жовтою оболочкою.",Дві хлопці на вулиці.,0,entailment
Хлопчик без футболку і хлопчик у зелено-білому грають на бетонній поверхні біля маленької сцені.,Дівчина шває волосся лялька.,2,contradiction
Чорна собака грає в воді.,Собака грає в воді.,0,entailment
"На бейсбольній грі одна дівчина прослізнулася скрізь бруд і впала в базу, а друга підняла руки.",Дівчата одягаються в уніформу.,1,neutral
"Шість чоловіків минули мимо, дивлячись один на одного.",Шість чоловіків знаходяться в будівлі.,2,contradiction
Людина на великій полі грає з моделлю літаку.,Хтось грає з моделлю літаку на полі модельного літаку.,1,neutral
"чоловік, який стоїть біля ресторану.",Чоловік курить перед рестораном.,1,neutral
Дівчина з рожевим верхнім пластом грає на гітарі за вікном магазину.,чоловік ходить своєю черепахой,2,contradiction
Дві жінки-конкурсанти прогуляються своїми собаками на собаковому шоу.,Дві жінки мають собак.,0,entailment
На сцени виступають чоловік з мікрофоном і чоловік з саксофоном.,Є група людей на метальному концерті.,2,contradiction
