premise,hypothesis,labels
"Азіатська пара сидить на дерев'яній скалах у лісовій зоні, читає і оглядає себе.",Азіатська пара знаходиться в національному парку.,1
"Чоловік, який їздить на велосипеді на полі.",Чоловік серфує.,2
Чоловік викладає всю свою силу в спортзалі з великою кількістю ваги над головою.,"Чоловік, який конкурує з іншими в спортзалі.",1
"Маленька дівчинка, з темними волоссями і жовтою жилетом з полосовими штанами, приховує до кошиці квітів.",мавпа їсть яблуко,2
"Білокосака собака малого до середнього розміру дивиться на власника, якого немає на фото.",Собака дивиться вгору.,0
"Дві люди знаходяться в річці, один - стоявший чоловік, а інший - це дитина, яка лежить на животі з грудьми і головою над водою.",Дві люди мають купальні костюми.,1
Чоловік у чорній куртці грає на гітарі.,Чоловік у чорній шкірної куртці грає на електричній гітарі.,1
Хлопчик у брудної рубашії ходить по океані.,Хлопчик прогуляється через океан.,0
Невеликий будинок сидить на скло гори поруч з грунтовим шляху.,На скло гори знаходиться поряд з грунтовим стежком.,0
"Чудова фотографія молодої жінки, яка стрибає в повітря.",Ніхто не стрибає.,2
Серфборд підготується до хвилі.,Келлі Слейтер побачила свою першу хвилю змагань.,1
"Група людей старшого віку сидить під зонтом, який присвячує морську життя.",Група ветеранів сидить під тіні.,1
"Скейтбордер, який стрибає перед будівлею.",Хтось виконує трюки на скейтбордні за межами,0
П'ять джентльменів середнього віку виступають на сцені з струнними інструментами.,П'ять чоловіків скокнулися в натовп.,2
"Собака, що стрибає над бар'єром.",Собака стрибає,0
"молодий хлопчик, який хвиляв струмом змішки",є дожджливий зміг,1
Новинна пара позирує перед красивою фонтаною.,Люди одягаються в весільну одяг.,0
"два маленьких хлопчиків, які грають у снігу",Два молодих чоловіків воюють зі сніговою м'ячкою.,2
Ця кухня недавно обнажена.,Ця кімната не ремонтувалась вже роки.,2
Жінка на стрільках робить для інших повітряні тварини.,жінка робить щось для дітей,1
Три людини переглядають місце події у прекрасну ніч.,Три людини дивляться на вулицю вночі.,0
Людина стрибає з тротуара на скейтборі.,"Чоловік на скейтборі, який намагається показати трюки.",1
"Чотири чоловіків відпочивають біля вантажівки, деякі з них п'ють каву.",Чоловіки роблять перерву з кавою.,0
"Одинокий чоловік на канові, тримаючи верт, насолоджуючись пейзажем синих гір і скляної води.",Чоловік намагається витягнути кано на берег.,2
"Дві молоді жінки перед автоматом намагаються вирішити, що отримати.","Дві жінки вирішують, що отримати.",0
"У вас є маленька дівчинка, яка біжить до того, хто знімає фотографію в розовому платьці.",Маленька дівчинка важить 250 кілограмів.,2
Група людей готується до м'юзиклу.,Деякі люди спить.,2
Молодий чоловік чекає з іншими на тротуар.,на вулиці чекає група людей.,0
"Браньова собака, що плює в воду на березі водостоку або річки.",Собака сорове.,0
"Невелика група хлопців грає на саксофонах, а один чоловік грає на барабанах з ведрами.",Група їсть хот-доги на пікніку.,2
Водій на велосипеді в повітрі виконує трюк.,Мотоцикліст робить трюк.,0
Заварці працюють над великою металевою барабанкою.,Сваркачі новинки в цій роботі.,1
"Чоловік у білому футболі намагається забить, а його суперник намагається зламати м'яч.",чоловік - спортсмен.,1
Дві великі чорні собаки хркають один на одного.,Собаки коричневі.,2
Люди стоять в кімнаті з кольоровими повітряними шарами.,Люди з кольоровими повітряними шарами.,0
"Маленький хлопчик, одягнений у жовту і червону футболку, фарбуваючи на папері з синим олівцем.",Хлопчик малює з вугілля.,2
"Жінка з коричневими волоссями, одягненій у червону платьку з пунктими, співає в мікрофон.",жінка співає,0
"Хлопчик у мокрой червоній сорочки дає воду черепахи, а хлопчик у одязі Spiderman і інші дивляться.",Дві маленькі діти біля тварини.,0
"Молодий досвідчений серфінг у Каліфорнії, який насолоджується хвилями в сонячну суботу.",Професійний серфінг серфує в суботу в Каліфорнії.,0
Один чоловік з футболом і два без футболу чоловіки грають футбол на піску перед публікою.,Три чоловіки грають в футбол.,0
"молода дівчина, яка займається карате, кидає до табло, а інші дивляться",Ніхто не займається карате,2
Хлопчик без футболку і хлопчик у зелено-білому грають на бетонній поверхні біля маленької сцені.,Дві хлопці одягаються.,1
Маленький хлопчик у маленькому колищі.,Хлопчик сидить на маленькому віху.,1
"Чоловік, що посміхається, коли він їздить великим вантажом.",На пасажирському сидінці хтось.,1
Четири собак-грайхоунди гоняться один проти одного в гонці.,Найшвидший собака виграє гонку.,1
Азіатська жінка з ковчегом продукції.,Жінка розгуляється.,2
"Працівники працюють на залізничному тунелі, який йде з Уемблі-Парка до Стенмор.",Робітники підсилюють і заправляють печерні в туннелі.,1
чоловік уважно перевіряє плитки на даху.,Чоловік намагається виправити дах.,0
Чоловік сидить на дивані під мостом і мусор навколо нього.,Чоловік дивиться телевізор удома.,2
Пожарник затягує запис з управління натовпом.,Пожарник охоплює місце з касетою.,1
Старіший чоловік ходить в парку з двома морозильниками.,Старий чоловік сидить,2
"Там чорна собака, яка стрибає в басейн.",Чорна собака хоче піти поплавати.,1
Кошарковий гравець дивиться вгору і готовий кинути м'яч.,Гравець - відмінний пробіг.,1
Маленький хлопчик допомагає прикрасити різдвяне дерево.,Різдвове дерево окрашують.,0
Азіатський хлопчик розмовляє зі своїм другом поруч з содовою машиною.,Хлопчик читає сам.,2
Три людини сидять в відкритому кафе.,Три людини стоять у черзі.,2
Дві хлопці носять сонячні окуляри і шляпки.,"Дві чоловіки в монокле, демонструючи волосся.",2
"Сноубордер, який летів з скаку.",Снеубордіст сидів біля вогню і ніколи не стрибав.,2
Дві люди дивляться на вид.,Там три людини.,2
"Люди, які розважають про своє життя в переповненим поїзді",Люди переїжджають літаючим поїздом.,2
"Дівчина грає в теніс, а глядач дивиться ззаду.",Дівчина грає в баскетбол сама.,2
"Кухар в білому і чорному (і білий кухарський шапку) піднімає ложку, повну свого недавно виготовленої супи з великої горшки з нержавеючої сталі.",Кухар тестуває суп.,1
Кілька людей об'єднуються на вулиці в лісі в купальних костюмах.,Люди розмовляють в кімнаті.,2
Люди на вулицях ходять і розмовляють,Люди на вулиці.,0
"Три чоловіки, два у білих сорочках, один у синій, сиділи на стільцях навколо столу і пили кілька пива.",Деякі хлопці сидять за столом і п'ють пиво.,0
"Один чоловік у червоній зіпсовій палітіку дивився, як інший чоловік у чорній палітіку стрибає в повітрі, а на задньому плане сидить чорна машина Audi з європейськими номерами номерів і велика будівля з жовтою оболочкою.",Дві хлопці на вулиці.,0
Хлопчик без футболку і хлопчик у зелено-білому грають на бетонній поверхні біля маленької сцені.,Дівчина шває волосся лялька.,2
Чорна собака грає в воді.,Собака грає в воді.,0
"На бейсбольній грі одна дівчина прослізнулася скрізь бруд і впала в базу, а друга підняла руки.",Дівчата одягаються в уніформу.,1
"Шість чоловіків минули мимо, дивлячись один на одного.",Шість чоловіків знаходяться в будівлі.,2
Людина на великій полі грає з моделлю літаку.,Хтось грає з моделлю літаку на полі модельного літаку.,1
"чоловік, який стоїть біля ресторану.",Чоловік курить перед рестораном.,1
Дівчина з рожевим верхнім пластом грає на гітарі за вікном магазину.,чоловік ходить своєю черепахой,2
Дві жінки-конкурсанти прогуляються своїми собаками на собаковому шоу.,Дві жінки мають собак.,0
На сцени виступають чоловік з мікрофоном і чоловік з саксофоном.,Є група людей на метальному концерті.,2
Дві маленькі діти дивляться на якусь їжу.,Діти голодні і хочуть їсти прямо зараз.,1
"Молода студентка, яка виконує удар вниз, щоб розбити долю, що тримається її інструктором карате.",Студент розбиває долю.,1
"5 дітей, 2 хлопчики і 3 дівчата, діляться їжею, сидіючи за межами будівлі.",Діти діляться їжею.,0
Пара ходить по вулиці.,Пара ходить за рукою.,1
Дитина прив'язана до вілка.,Дитина плаче в віхлі.,1
Чоловік літає по повітрі на скейтборі над білим сходом.,"Чоловік, який стрибає над білою сходом на скейтборі.",0
"Жінка катається на ролінах, коли вона об'єднується з іншою жінкою.","Дві жінки, які катаються на ролінах разом.",1
"Чоловік, який носить окуляри і білу рубашку, дивиться на склянку пива, коли піднімає її на пиття.","Чоловік у окулярах і білої рубашки, що п'є пиво.",0
Велика група людей заповнює вулицю.,Люди на вулиці є частиною параду.,1
Чоловік скейтборд,Люди практикують своє хобі.,0
Дві чоловіки стоять на мосту.,Дві чоловіки стояли біля новобудованого мосту.,1
Натовпна вулиця в Європі.,На вулицях протестують натовп,1
Скейтбордер летить над своєю перевернутою долоною.,Чоловік їздить на велосипеді через парк.,2
Хлопчик у футбольному костюмі і взуттях виходив з машини.,"Хлопчик, який тримає бейсбольну палку",2
"Група людей, які одягають білі футболки з червоним рушником навколо шиї, виходять з стадіону, а два чоловіки з чашечкам в руках дивляться на щось.",Група людей змагалася скласти найбільше салфетки за одну хвилину.,2
